data_transacao,id_cliente,id_parceiro,qde_pontos,tipo_transacao
2026-04-22,734,8,194,pontuação
2026-04-25,175,15,397,pontuação
2026-03-23,387,33,845,pontuação
2026-03-13,594,15,556,pontuação
2026-05-03,640,22,915,pontuação
2026-04-13,42,20,867,pontuação
2026-04-22,985,35,867,pontuação
2026-02-06,725,14,873,pontuação
2026-04-21,960,9,908,pontuação
2026-03-02,929,29,524,pontuação
2026-03-28,39,31,894,pontuação
2026-01-27,511,17,761,pontuação
2026-04-08,179,7,843,pontuação
2026-02-04,2,20,976,pontuação
2026-03-09,469,3,428,pontuação
2026-02-26,313,12,446,pontuação
2026-03-04,655,3,35,pontuação
2026-04-10,38,22,464,pontuação
2026-01-27,767,25,791,pontuação
2026-02-27,600,1,903,pontuação
2026-01-04,308,7,136,pontuação
2026-02-23,35,11,987,pontuação
2026-04-29,479,38,683,pontuação
2026-02-18,382,37,320,pontuação
2026-01-28,264,29,583,pontuação
2026-05-05,509,28,268,pontuação
2026-03-29,294,17,188,pontuação
2026-04-01,806,8,217,pontuação
2026-03-05,700,31,524,pontuação
2026-04-05,728,22,470,pontuação
2026-03-03,494,32,841,pontuação
2026-01-27,407,15,687,pontuação
2026-02-11,724,14,978,pontuação
2026-04-03,747,35,12,pontuação
2026-04-24,936,25,585,pontuação
2026-01-03,78,37,9,pontuação
2026-04-05,706,27,678,pontuação
2026-04-16,946,9,269,pontuação
2026-04-10,666,28,815,pontuação
2026-03-19,83,3,120,pontuação
2026-03-22,874,22,365,pontuação
2026-04-18,668,13,176,pontuação
2026-04-19,457,26,304,pontuação
2026-02-02,319,8,27,pontuação
2026-02-04,371,30,332,pontuação
2026-04-01,711,30,974,pontuação
2026-04-26,316,39,440,pontuação
2026-02-17,639,3,251,pontuação
2026-01-05,198,25,632,pontuação
2026-01-04,657,32,432,pontuação
2026-04-11,32,1,113,pontuação
2026-02-21,202,27,868,pontuação
2026-01-07,665,28,703,pontuação
2026-02-17,457,14,884,pontuação
2026-04-20,348,3,578,pontuação
2026-04-30,735,30,475,pontuação
2026-02-05,984,24,119,pontuação
2026-02-27,260,39,316,pontuação
2026-02-03,247,25,786,pontuação
2026-04-14,103,2,717,pontuação
2026-03-15,678,32,789,pontuação
2026-01-05,199,16,584,pontuação
2026-02-23,118,26,16,pontuação
2026-02-07,771,20,611,pontuação
2026-04-09,294,4,221,pontuação
2026-01-25,761,21,538,pontuação
2026-04-21,294,33,114,pontuação
2026-03-20,569,9,968,pontuação
2026-03-08,756,29,387,pontuação
2026-03-06,365,27,480,pontuação
2026-01-26,570,34,278,pontuação
2026-02-02,701,35,689,pontuação
2026-01-04,332,39,334,pontuação
2026-02-25,34,28,903,pontuação
2026-02-11,809,10,134,pontuação
2026-05-04,50,3,537,pontuação
2026-02-28,827,14,902,pontuação
2026-03-20,332,30,917,pontuação
2026-02-10,696,3,779,pontuação
2026-01-11,677,25,298,pontuação
2026-04-17,96,12,862,pontuação
2026-01-02,323,5,95,pontuação
2026-03-13,19,29,603,pontuação
2026-03-12,853,30,904,pontuação
2026-03-16,396,30,285,pontuação
2026-02-13,916,7,751,pontuação
2026-01-29,595,6,932,pontuação
2026-04-19,103,38,155,pontuação
2026-01-04,405,25,235,pontuação
2026-04-21,827,7,803,pontuação
2026-02-24,115,40,976,pontuação
2026-03-08,505,24,205,pontuação
2026-02-02,956,32,684,pontuação
2026-02-25,348,8,462,pontuação
2026-02-20,712,37,131,pontuação
2026-01-13,934,13,840,pontuação
2026-03-14,684,39,143,pontuação
2026-02-17,257,39,930,pontuação
2026-01-03,46,17,417,pontuação
2026-04-26,12,28,896,pontuação
2026-03-16,791,24,628,pontuação
2026-03-16,504,32,208,pontuação
2026-01-12,35,11,729,pontuação
2026-03-10,307,33,858,pontuação
2026-04-19,105,1,454,pontuação
2026-03-12,743,9,874,pontuação
2026-03-09,143,11,605,pontuação
2026-01-27,688,22,818,pontuação
2026-04-06,429,26,847,pontuação
2026-02-01,402,31,393,pontuação
2026-02-09,319,38,433,pontuação
2026-01-14,826,7,459,pontuação
2026-02-21,961,18,504,pontuação
2026-04-01,738,3,120,pontuação
2026-03-23,255,32,365,pontuação
2026-02-21,544,30,697,pontuação
2026-03-09,205,20,39,pontuação
2026-04-12,239,36,653,pontuação
2026-04-01,619,25,730,pontuação
2026-02-27,87,24,898,pontuação
2026-05-01,369,26,743,pontuação
2026-01-16,823,32,630,pontuação
2026-02-04,326,34,378,pontuação
2026-01-07,411,12,386,pontuação
2026-01-24,709,34,176,pontuação
2026-04-09,497,16,337,pontuação
2026-01-11,698,5,265,pontuação
2026-03-15,281,14,44,pontuação
2026-02-06,688,32,913,pontuação
2026-02-20,549,6,769,pontuação
2026-03-05,584,4,503,pontuação
2026-04-09,290,4,398,pontuação
2026-04-27,65,1,183,pontuação
2026-01-17,868,5,870,pontuação
2026-02-24,108,28,302,pontuação
2026-03-03,950,21,534,pontuação
2026-03-26,244,28,243,pontuação
2026-02-09,706,23,752,pontuação
2026-01-16,768,27,477,pontuação
2026-03-25,598,37,528,pontuação
2026-02-27,319,1,68,pontuação
2026-04-09,34,24,603,pontuação
2026-02-05,982,35,665,pontuação
2026-03-31,229,8,886,pontuação
2026-01-13,233,29,349,pontuação
2026-03-15,678,20,864,pontuação
2026-04-12,72,6,8,pontuação
2026-01-13,298,19,626,pontuação
2026-01-24,396,4,835,pontuação
2026-01-25,567,20,11,pontuação
2026-02-06,858,11,800,pontuação
2026-03-04,158,22,246,pontuação
2026-03-19,924,17,803,pontuação
2026-01-18,769,30,916,pontuação
2026-01-09,730,38,535,pontuação
2026-01-22,105,27,800,pontuação
2026-02-13,378,9,762,pontuação
2026-02-16,465,5,360,pontuação
2026-02-13,72,5,863,pontuação
2026-03-12,894,6,697,pontuação
2026-02-27,513,39,583,pontuação
2026-01-13,642,16,710,pontuação
2026-02-17,415,29,177,pontuação
2026-04-16,225,15,633,pontuação
2026-01-08,90,33,880,pontuação
2026-03-21,95,5,197,pontuação
2026-05-03,520,30,972,pontuação
2026-01-05,908,19,315,pontuação
2026-03-25,242,30,848,pontuação
2026-01-11,270,29,462,pontuação
2026-02-05,885,16,629,pontuação
2026-01-16,342,31,174,pontuação
2026-04-24,226,2,730,pontuação
2026-02-06,569,30,282,pontuação
2026-03-08,852,11,4,pontuação
2026-04-24,497,35,379,pontuação
2026-03-13,660,29,761,pontuação
2026-04-14,50,19,455,pontuação
2026-01-27,544,24,37,pontuação
2026-02-13,800,16,791,pontuação
2026-04-06,508,8,734,pontuação
2026-03-28,809,38,827,pontuação
2026-03-04,387,29,618,pontuação
2026-05-01,195,30,427,pontuação
2026-01-24,118,24,301,pontuação
2026-01-26,961,35,390,pontuação
2026-02-13,845,37,123,pontuação
2026-01-02,195,22,161,pontuação
2026-04-12,623,27,755,pontuação
2026-03-11,837,7,144,pontuação
2026-01-01,300,2,352,pontuação
2026-02-05,904,12,79,pontuação
2026-02-28,881,22,286,pontuação
2026-01-03,915,28,185,pontuação
2026-04-24,722,5,61,pontuação
2026-05-03,832,20,964,pontuação
2026-01-10,908,16,692,pontuação
2026-03-01,43,4,87,pontuação
2026-02-04,894,16,978,pontuação
2026-03-05,852,3,795,pontuação
2026-05-01,462,14,52,pontuação
2026-02-14,707,5,195,pontuação
2026-03-01,455,18,895,pontuação
2026-04-11,749,31,74,pontuação
2026-04-24,40,10,175,pontuação
2026-04-24,467,4,873,pontuação
2026-03-18,988,15,487,pontuação
2026-03-25,680,23,8,pontuação
2026-02-01,31,38,502,pontuação
2026-01-17,189,6,114,pontuação
2026-02-16,666,11,507,pontuação
2026-03-24,274,12,293,pontuação
2026-01-12,210,11,706,pontuação
2026-02-02,351,23,172,pontuação
2026-01-24,748,25,358,pontuação
2026-01-27,264,21,295,pontuação
2026-02-12,40,2,480,pontuação
2026-02-03,580,31,25,pontuação
2026-01-31,356,1,407,pontuação
2026-01-06,311,16,944,pontuação
2026-04-03,521,32,816,pontuação
2026-03-22,484,10,561,pontuação
2026-04-04,481,32,997,pontuação
2026-02-17,87,33,523,pontuação
2026-04-04,392,38,677,pontuação
2026-03-25,47,17,348,pontuação
2026-01-27,174,6,863,pontuação
2026-01-23,828,28,860,pontuação
2026-01-03,595,13,83,pontuação
2026-03-06,116,5,714,pontuação
2026-04-29,217,23,503,pontuação
2026-02-14,257,24,130,pontuação
2026-01-09,795,35,526,pontuação
2026-04-05,951,3,677,pontuação
2026-02-16,322,11,149,pontuação
2026-05-04,233,24,573,pontuação
2026-02-08,637,4,83,pontuação
2026-02-12,455,30,936,pontuação
2026-04-25,125,13,144,pontuação
2026-03-14,493,1,989,pontuação
2026-01-21,156,36,791,pontuação
2026-02-28,409,2,733,pontuação
2026-02-28,793,8,911,pontuação
2026-04-09,615,1,759,pontuação
2026-03-11,430,32,610,pontuação
2026-04-23,14,31,914,pontuação
2026-02-20,51,37,195,pontuação
2026-02-03,664,21,508,pontuação
2026-02-13,119,11,816,pontuação
2026-04-01,62,36,927,pontuação
2026-01-01,859,40,947,pontuação
2026-02-08,41,40,234,pontuação
2026-03-26,16,24,745,pontuação
2026-04-23,336,13,783,pontuação
2026-02-18,741,22,28,pontuação
2026-01-06,716,25,906,pontuação
2026-01-22,123,25,622,pontuação
2026-01-01,193,7,283,pontuação
2026-01-16,984,29,898,pontuação
2026-03-17,382,36,52,pontuação
2026-02-20,31,15,610,pontuação
2026-01-02,853,15,886,pontuação
2026-01-28,554,2,601,pontuação
2026-01-14,64,29,841,pontuação
2026-03-18,589,6,336,pontuação
2026-02-18,592,17,682,pontuação
2026-01-03,583,9,631,pontuação
2026-04-19,357,12,515,pontuação
2026-04-29,956,15,883,pontuação
2026-03-06,919,1,828,pontuação
2026-03-08,698,10,739,pontuação
2026-03-08,788,11,803,pontuação
2026-04-30,96,21,630,pontuação
2026-01-26,812,23,696,pontuação
2026-04-10,323,6,328,pontuação
2026-02-15,769,20,125,pontuação
2026-02-05,750,37,414,pontuação
2026-01-20,263,35,701,pontuação
2026-03-04,305,14,853,pontuação
2026-03-02,204,20,965,pontuação
2026-02-28,661,6,155,pontuação
2026-02-02,709,30,475,pontuação
2026-04-16,860,12,562,pontuação
2026-05-01,128,9,809,pontuação
2026-01-03,621,16,516,pontuação
2026-04-26,400,19,577,pontuação
2026-02-06,894,21,993,pontuação
2026-02-19,654,12,405,pontuação
2026-04-02,491,7,148,pontuação
2026-01-22,410,34,445,pontuação
2026-02-10,217,22,859,pontuação
2026-04-21,123,17,935,pontuação
2026-01-11,907,30,769,pontuação
2026-04-06,759,24,648,pontuação
2026-03-30,12,28,370,pontuação
2026-03-18,588,36,877,pontuação
2026-02-15,813,26,700,pontuação
2026-02-12,110,21,789,pontuação
2026-02-07,215,18,536,pontuação
2026-04-02,653,29,949,pontuação
2026-04-03,321,23,412,pontuação
2026-03-15,555,37,613,pontuação
2026-02-07,122,34,759,pontuação
2026-04-12,280,8,568,pontuação
2026-01-26,649,37,365,pontuação
2026-03-04,331,30,958,pontuação
2026-03-05,633,36,820,pontuação
2026-04-25,363,6,658,pontuação
2026-03-17,39,7,667,pontuação
2026-04-26,663,10,190,pontuação
2026-03-16,19,8,412,pontuação
2026-02-09,746,27,493,pontuação
2026-03-04,651,37,85,pontuação
2026-01-09,551,22,706,pontuação
2026-05-01,21,20,533,pontuação
2026-01-02,910,14,485,pontuação
2026-04-11,369,3,561,pontuação
2026-01-27,32,29,849,pontuação
2026-01-17,340,9,377,pontuação
2026-01-25,708,4,485,pontuação
2026-03-01,357,28,625,pontuação
2026-03-03,334,40,370,pontuação
2026-03-30,355,30,838,pontuação
2026-03-30,395,37,222,pontuação
2026-02-09,993,17,96,pontuação
2026-03-05,388,37,140,pontuação
2026-02-24,957,31,382,pontuação
2026-03-04,681,17,925,pontuação
2026-02-18,475,6,988,pontuação
2026-03-05,366,16,400,pontuação
2026-03-13,942,37,845,pontuação
2026-02-08,687,11,105,pontuação
2026-01-12,22,28,832,pontuação
2026-01-15,259,23,236,pontuação
2026-01-26,322,1,656,pontuação
2026-02-13,517,4,661,pontuação
2026-04-29,77,8,506,pontuação
2026-04-24,37,5,369,pontuação
2026-03-23,259,18,76,pontuação
2026-05-04,583,17,241,pontuação
2026-04-06,343,28,226,pontuação
2026-02-25,589,32,532,pontuação
2026-01-26,35,14,355,pontuação
2026-03-04,986,4,779,pontuação
2026-03-25,791,17,574,pontuação
2026-02-02,467,39,952,pontuação
2026-04-22,659,1,61,pontuação
2026-02-08,13,8,705,pontuação
2026-04-02,8,13,306,pontuação
2026-01-01,457,11,436,pontuação
2026-04-13,220,29,468,pontuação
2026-03-29,226,16,155,pontuação
2026-03-21,380,6,218,pontuação
2026-03-29,109,22,615,pontuação
2026-01-03,102,34,594,pontuação
2026-03-20,760,24,844,pontuação
2026-01-07,645,37,512,pontuação
2026-03-11,674,35,706,pontuação
2026-01-16,481,26,358,pontuação
2026-04-26,144,15,968,pontuação
2026-03-16,294,26,980,pontuação
2026-03-23,343,4,1,pontuação
2026-03-24,358,28,410,pontuação
2026-02-21,382,38,601,pontuação
2026-03-11,131,13,784,pontuação
2026-03-10,276,6,941,pontuação
2026-04-23,508,34,330,pontuação
2026-02-05,108,27,593,pontuação
2026-03-02,89,29,793,pontuação
2026-01-29,690,4,247,pontuação
2026-02-16,337,28,307,pontuação
2026-03-24,305,24,896,pontuação
2026-04-18,21,17,229,pontuação
2026-03-13,182,19,100,pontuação
2026-01-17,623,25,874,pontuação
2026-02-12,494,19,553,pontuação
2026-04-04,796,22,841,pontuação
2026-03-14,541,7,730,pontuação
2026-01-03,491,2,978,pontuação
2026-04-15,293,40,382,pontuação
2026-02-18,458,13,963,pontuação
2026-02-17,538,2,155,pontuação
2026-04-05,823,9,468,pontuação
2026-04-19,944,1,457,pontuação
2026-01-11,627,13,575,pontuação
2026-02-25,560,21,967,pontuação
2026-03-30,445,5,76,pontuação
2026-01-15,754,24,110,pontuação
2026-03-13,573,11,927,pontuação
2026-03-28,518,24,245,pontuação
2026-03-31,116,26,98,pontuação
2026-03-04,387,40,95,pontuação
2026-02-25,617,18,371,pontuação
2026-03-28,135,21,676,pontuação
2026-05-05,303,24,282,pontuação
2026-04-10,577,25,915,pontuação
2026-03-24,588,30,803,pontuação
2026-04-24,595,39,937,pontuação
2026-03-19,205,33,876,pontuação
2026-04-04,191,6,128,pontuação
2026-02-22,73,18,516,pontuação
2026-03-19,539,16,209,pontuação
2026-02-24,284,13,393,pontuação
2026-01-20,476,34,565,pontuação
2026-01-04,134,29,318,pontuação
2026-02-09,560,10,472,pontuação
2026-03-22,818,7,419,pontuação
2026-02-12,999,2,28,pontuação
2026-02-17,936,2,494,pontuação
2026-02-02,685,7,880,pontuação
2026-02-25,633,26,704,pontuação
2026-01-24,31,3,987,pontuação
2026-04-13,506,27,557,pontuação
2026-03-10,800,13,91,pontuação
2026-02-02,231,35,859,pontuação
2026-04-05,86,7,217,pontuação
2026-05-04,428,32,768,pontuação
2026-01-01,624,10,889,pontuação
2026-01-04,964,40,194,pontuação
2026-04-26,892,27,105,pontuação
2026-02-03,849,6,84,pontuação
2026-02-11,618,19,821,pontuação
2026-01-17,800,11,652,pontuação
2026-03-11,340,16,560,pontuação
2026-04-26,590,16,525,pontuação
2026-02-03,183,8,865,pontuação
2026-01-10,480,36,299,pontuação
2026-02-11,852,17,98,pontuação
2026-01-15,516,25,980,pontuação
2026-04-05,593,30,322,pontuação
2026-01-28,534,14,567,pontuação
2026-04-21,165,28,654,pontuação
2026-04-30,579,25,80,pontuação
2026-05-05,375,32,239,pontuação
2026-05-02,732,38,278,pontuação
2026-04-17,744,23,140,pontuação
2026-04-27,84,9,112,pontuação
2026-03-15,272,12,663,pontuação
2026-04-16,15,18,499,pontuação
2026-01-03,922,37,580,pontuação
2026-03-29,836,16,905,pontuação
2026-02-03,493,14,949,pontuação
2026-05-02,844,12,453,pontuação
2026-02-09,371,6,893,pontuação
2026-01-28,758,21,219,pontuação
2026-02-28,698,26,145,pontuação
2026-02-07,230,39,15,pontuação
2026-01-21,715,17,45,pontuação
2026-04-01,482,10,489,pontuação
2026-02-07,24,27,219,pontuação
2026-03-02,389,31,838,pontuação
2026-03-17,922,12,342,pontuação
2026-03-31,174,17,658,pontuação
2026-04-23,553,30,521,pontuação
2026-02-11,95,22,753,pontuação
2026-03-19,614,10,94,pontuação
2026-04-10,572,27,480,pontuação
2026-03-05,769,21,384,pontuação
2026-01-17,330,16,917,pontuação
2026-02-10,589,26,741,pontuação
2026-01-19,805,27,871,pontuação
2026-02-19,932,9,249,pontuação
2026-03-09,734,17,95,pontuação
2026-01-18,653,5,809,pontuação
2026-02-25,45,31,822,pontuação
2026-03-16,834,5,17,pontuação
2026-03-02,714,16,613,pontuação
2026-02-26,334,40,735,pontuação
2026-02-22,497,35,931,pontuação
2026-01-30,9,12,607,pontuação
2026-02-15,809,39,738,pontuação
2026-01-09,168,18,681,pontuação
2026-01-26,511,5,840,pontuação
2026-03-29,367,11,834,pontuação
2026-03-05,28,23,693,pontuação
2026-03-12,15,22,961,pontuação
2026-01-03,842,36,721,pontuação
2026-03-25,136,7,825,pontuação
2026-03-01,462,8,70,pontuação
2026-03-14,325,1,575,pontuação
2026-01-07,216,1,488,pontuação
2026-01-16,194,3,124,pontuação
2026-02-16,415,30,146,pontuação
2026-02-13,332,25,673,pontuação
2026-01-06,387,28,607,pontuação
2026-03-02,116,28,558,pontuação
2026-03-16,651,29,489,pontuação
2026-01-14,916,40,462,pontuação
2026-01-06,811,22,202,pontuação
2026-01-17,749,9,681,pontuação
2026-01-12,154,35,293,pontuação
2026-01-27,297,27,189,pontuação
2026-01-22,930,27,658,pontuação
2026-02-14,704,40,343,pontuação
2026-05-03,946,22,63,pontuação
2026-04-12,736,27,352,pontuação
2026-01-21,785,31,81,pontuação
2026-04-20,946,19,495,pontuação
2026-01-06,97,17,657,pontuação
2026-02-19,183,38,223,pontuação
2026-03-05,367,13,770,pontuação
2026-02-10,563,6,885,pontuação
2026-01-30,83,37,172,pontuação
2026-03-22,156,38,92,pontuação
2026-04-15,668,10,343,pontuação
2026-02-27,870,28,665,pontuação
2026-03-07,974,39,854,pontuação
2026-04-25,165,39,388,pontuação
2026-01-12,851,16,260,pontuação
2026-02-11,241,40,292,pontuação
2026-01-29,824,9,30,pontuação
2026-02-07,698,13,968,pontuação
2026-03-09,386,37,271,pontuação
2026-03-21,460,31,296,pontuação
2026-03-28,754,16,31,pontuação
2026-01-06,101,4,433,pontuação
2026-02-26,231,20,771,pontuação
2026-04-03,897,34,627,pontuação
2026-01-02,919,6,233,pontuação
2026-02-08,702,6,273,pontuação
2026-03-23,358,20,92,pontuação
2026-04-01,551,39,353,pontuação
2026-03-31,483,17,619,pontuação
2026-02-17,170,8,8,pontuação
2026-03-24,31,29,562,pontuação
2026-01-08,825,26,375,pontuação
2026-02-14,239,3,721,pontuação
2026-04-13,418,15,281,pontuação
2026-02-18,214,11,513,pontuação
2026-03-20,939,28,721,pontuação
2026-04-19,271,23,418,pontuação
2026-03-18,317,34,6,pontuação
2026-03-12,439,15,523,pontuação
2026-03-19,31,34,710,pontuação
2026-01-10,352,15,802,pontuação
2026-05-02,111,31,287,pontuação
2026-02-12,245,1,861,pontuação
2026-01-22,349,37,945,pontuação
2026-04-29,362,8,284,pontuação
2026-02-28,717,14,789,pontuação
2026-02-05,51,2,494,pontuação
2026-03-22,384,38,656,pontuação
2026-02-02,124,24,136,pontuação
2026-04-21,995,30,655,pontuação
2026-01-28,940,6,38,pontuação
2026-01-11,466,14,405,pontuação
2026-02-05,454,31,946,pontuação
2026-03-19,709,4,851,pontuação
2026-01-11,363,7,716,pontuação
2026-01-01,116,17,516,pontuação
2026-02-06,124,17,817,pontuação
2026-03-20,95,37,41,pontuação
2026-03-11,237,20,739,pontuação
2026-02-02,406,13,906,pontuação
2026-01-10,702,18,703,pontuação
2026-02-14,912,34,703,pontuação
2026-02-05,237,34,502,pontuação
2026-04-13,685,39,176,pontuação
2026-05-04,888,20,957,pontuação
2026-04-06,357,10,211,pontuação
2026-03-21,338,18,660,pontuação
2026-02-09,289,9,912,pontuação
2026-05-04,77,9,48,pontuação
2026-02-20,480,9,49,pontuação
2026-04-07,847,37,457,pontuação
2026-02-20,275,25,157,pontuação
2026-02-24,351,10,400,pontuação
2026-01-31,596,18,144,pontuação
2026-04-24,207,36,627,pontuação
2026-02-20,794,14,937,pontuação
2026-01-22,1,24,461,pontuação
2026-01-30,699,33,547,pontuação
2026-01-24,828,18,833,pontuação
2026-02-10,444,19,514,pontuação
2026-02-10,988,33,481,pontuação
2026-04-07,111,27,339,pontuação
2026-03-07,119,30,876,pontuação
2026-04-12,847,39,801,pontuação
2026-01-21,449,19,905,pontuação
2026-03-13,387,34,698,pontuação
2026-01-09,617,26,839,pontuação
2026-04-03,704,10,958,pontuação
2026-04-07,475,31,961,pontuação
2026-01-04,45,40,493,pontuação
2026-04-22,864,32,927,pontuação
2026-05-02,841,38,770,pontuação
2026-01-30,923,25,805,pontuação
2026-01-15,802,32,679,pontuação
2026-02-08,238,24,8,pontuação
2026-01-04,38,26,811,pontuação
2026-01-04,905,15,534,pontuação
2026-01-22,832,4,992,pontuação
2026-02-05,474,34,766,pontuação
2026-04-02,25,36,784,pontuação
2026-02-08,996,2,495,pontuação
2026-03-26,18,5,157,pontuação
2026-04-09,5,39,934,pontuação
2026-02-26,632,13,645,pontuação
2026-03-07,879,13,553,pontuação
2026-03-22,298,7,880,pontuação
2026-05-03,589,32,287,pontuação
2026-01-06,954,10,302,pontuação
2026-02-19,333,30,445,pontuação
2026-01-14,969,16,396,pontuação
2026-01-20,887,9,967,pontuação
2026-03-08,338,37,749,pontuação
2026-01-19,7,27,873,pontuação
2026-01-31,267,33,236,pontuação
2026-02-24,818,5,202,pontuação
2026-03-04,159,3,459,pontuação
2026-01-20,374,16,759,pontuação
2026-04-12,625,26,192,pontuação
2026-04-20,520,37,711,pontuação
2026-01-18,642,26,741,pontuação
2026-04-02,632,33,949,pontuação
2026-04-10,739,31,128,pontuação
2026-02-25,717,26,887,pontuação
2026-02-13,419,39,559,pontuação
2026-01-20,103,10,715,pontuação
2026-04-09,11,35,460,pontuação
2026-01-28,117,10,382,pontuação
2026-03-16,151,2,990,pontuação
2026-01-10,813,4,583,pontuação
2026-01-11,972,17,582,pontuação
2026-02-05,243,23,846,pontuação
2026-04-12,275,15,124,pontuação
2026-04-13,583,22,388,pontuação
2026-02-15,4,37,502,pontuação
2026-04-07,742,1,384,pontuação
2026-02-13,868,4,668,pontuação
2026-01-07,887,19,972,pontuação
2026-04-08,68,21,232,pontuação
2026-02-17,790,22,783,pontuação
2026-05-05,701,32,988,pontuação
2026-01-19,177,22,594,pontuação
2026-01-17,151,13,266,pontuação
2026-03-08,702,22,660,pontuação
2026-04-23,782,39,571,pontuação
2026-03-22,144,31,950,pontuação
2026-03-08,867,29,578,pontuação
2026-04-26,187,28,458,pontuação
2026-03-22,58,4,181,pontuação
2026-04-08,624,6,708,pontuação
2026-04-01,927,12,153,pontuação
2026-04-18,50,2,678,pontuação
2026-01-04,537,32,60,pontuação
2026-04-20,422,13,555,pontuação
2026-02-28,260,23,31,pontuação
2026-02-22,254,14,802,pontuação
2026-02-24,726,29,587,pontuação
2026-04-23,420,30,94,pontuação
2026-03-01,167,30,156,pontuação
2026-03-19,419,36,107,pontuação
2026-03-29,198,11,748,pontuação
2026-05-04,677,11,338,pontuação
2026-04-10,226,21,172,pontuação
2026-02-04,794,30,1000,pontuação
2026-04-08,74,19,614,pontuação
2026-01-12,151,3,192,pontuação
2026-01-17,622,21,401,pontuação
2026-03-03,688,23,532,pontuação
2026-05-03,390,10,777,pontuação
2026-02-22,822,7,40,pontuação
2026-01-25,202,21,893,pontuação
2026-03-27,120,25,482,pontuação
2026-01-16,647,17,365,pontuação
2026-01-18,724,9,513,pontuação
2026-01-03,835,3,375,pontuação
2026-01-27,220,3,782,pontuação
2026-04-19,318,12,814,pontuação
2026-02-19,387,19,541,pontuação
2026-02-01,588,20,353,pontuação
2026-03-15,494,5,47,pontuação
2026-02-06,719,29,50,pontuação
2026-02-15,663,21,77,pontuação
2026-03-02,812,32,406,pontuação
2026-01-13,651,16,712,pontuação
2026-01-05,457,8,128,pontuação
